,strategy_equity
2024-11-13,511.27843571139493
2024-11-14,511.2273078678238
2024-11-15,511.3435845334945
2024-11-18,511.3483311000126
2024-11-19,511.46460554028096
2024-11-20,511.4691554575726
2024-11-21,511.4738727074445
2024-11-22,511.5900843849205
2024-11-25,511.5947350415771
2024-11-26,511.543575568073
2024-11-27,511.6597300798625
2024-11-29,511.7199766895028
2024-12-02,511.80874950713996
2024-12-03,511.86939202719026
2024-12-04,511.8742411090351
2024-12-05,511.8789542024775
2024-12-06,512.0515624986999
2024-12-09,512.0562466835119
2024-12-10,512.1168951386841
2024-12-11,512.1216048976079
2024-12-12,512.182224450925
2024-12-13,512.2987803022954
2024-12-16,512.3034551016079
2024-12-17,512.3081238435827
2024-12-18,512.2568930311984
2024-12-19,512.2785984675128
2024-12-20,512.4518081950063
2024-12-23,512.4005630141868
2024-12-24,512.4615409357939
2024-12-26,512.5225015402681
2024-12-27,512.6956403708105
2024-12-30,512.6443708067734
2024-12-31,512.7052362503333
2025-01-02,512.7660843968129
2025-01-03,512.7709047367055
2025-01-06,512.775718985483
2025-01-07,512.8364832470089
2025-01-08,512.8973598454501
2025-01-10,513.0142072578436
2025-01-13,513.0189747481006
2025-01-14,513.0797562679662
2025-01-15,513.0844196164378
2025-01-16,513.0331111744762
2025-01-17,513.2619107721713
2025-01-21,513.210584581094
2025-01-22,513.2713340897384
2025-01-23,513.2200069563294
2025-01-24,513.3926517832032
2025-01-27,513.3972878388056
2025-01-28,513.3459481100217
2025-01-29,513.350620791
2025-01-30,513.3552442600053
2025-01-31,513.4718106833769
2025-02-03,513.566478732799
2025-02-04,513.5151220849258
2025-02-05,513.5199654917928
2025-02-06,513.5809489726167
2025-02-07,513.6418288865766
2025-02-10,513.6465996546431
2025-02-11,513.6513212226604
2025-02-12,513.6561229220707
2025-02-13,513.7170366392355
2025-02-14,513.8340024457971
2025-02-18,513.8947897406925
2025-02-19,513.89950154625
2025-02-20,513.9603029461261
2025-02-21,514.0772201957766
2025-02-24,514.0818538576372
2025-02-25,514.0304456722514
2025-02-26,514.0911891152483
2025-02-27,514.0958476340176
2025-02-28,514.1566051707069
2025-03-03,514.2119636559959
2025-03-04,514.1605424596303
2025-03-05,514.1653868497793
2025-03-06,514.1701820888829
2025-03-07,514.343632736449
2025-03-10,514.3483558796698
2025-03-11,514.3531589919774
2025-03-12,514.3579129768268
2025-03-13,514.4188445503937
2025-03-14,514.4798018118851
2025-03-17,514.5406987291277
2025-03-18,514.4892446592548
2025-03-19,514.493956950799
2025-03-20,514.5548187561069
2025-03-21,514.6718562265962
2025-03-24,514.6203890409736
2025-03-25,514.6250657606387
2025-03-26,514.6297363993683
2025-03-27,514.690528490935
2025-03-28,514.8074681736825
2025-03-31,514.7559874268652
2025-04-01,514.8227481557539
2025-04-02,514.8275857676758
2025-04-03,514.832374309273
2025-04-04,514.9498169455065
2025-04-07,514.9545820127491
2025-04-08,515.0156812862575
2025-04-09,514.9641797181289
2025-04-10,514.9689264746114
2025-04-11,515.1425085732521
2025-04-14,515.0909943223949
2025-04-15,515.1520236771713
2025-04-16,515.156729159661
2025-04-17,515.3302024771413
2025-04-21,515.3349218092166
2025-04-22,515.2833883170356
2025-04-23,515.3443421842617
2025-04-24,515.2928077500433
2025-04-25,515.4661121140333
