Date,dmt_v2_equity,baseline_equity,buy_hold_equity,position
2023-07-28,511.82864,556.39923,556.39923,0.0
2023-07-31,512.67975,557.4587,557.4587,0.8732525110244751
2023-08-01,512.67975,555.8634,555.8634,0.0
2023-08-02,512.67975,548.1309,548.1309,0.0
2023-08-03,512.67975,546.5601,546.5601,0.0
2023-08-04,512.67975,544.08813,544.08813,0.0
2023-08-07,516.58746,548.8372,548.8372,0.8732525706291199
2023-08-08,516.58746,546.4505,546.4505,0.0
2023-08-09,516.58746,542.79736,542.79736,0.0
2023-08-10,516.58746,542.99225,542.99225,0.0
2023-08-11,516.58746,542.6756,542.6756,0.0
2023-08-14,516.58746,545.67114,545.67114,0.0
2023-08-15,516.58746,539.3147,539.3147,0.0
2023-08-16,516.58746,535.3572,535.3572,0.0
2023-08-17,516.58746,531.27783,531.27783,0.0
2023-08-18,516.58746,531.5335,531.5335,0.0
2023-08-21,516.58746,534.9918,534.9918,0.0
2023-08-22,516.58746,533.5427,533.5427,0.0
2023-08-23,521.6118,539.48517,539.48517,0.8732534646987915
2023-08-24,521.6118,532.0084,532.0084,0.0
2023-08-25,524.8229,535.7589,535.7589,0.8732540607452393
2023-08-28,527.7292,539.15643,539.15643,0.8732527494430542
2023-08-29,534.3905,546.94977,546.94977,0.8732525110244751
2023-08-30,536.31256,549.20264,549.20264,0.8732525110244751
2023-08-31,535.62714,548.39886,548.39886,0.8732525110244751
2023-09-01,536.49963,549.42175,549.42175,0.8732525110244751
2023-09-05,536.49963,547.04724,547.04724,0.0
2023-09-06,536.49963,543.3697,543.3697,0.0
2023-09-07,536.49963,541.7015,541.7015,0.0
2023-09-08,536.49963,542.5173,542.5173,0.0
2023-09-11,536.49963,546.08527,546.08527,0.0
2023-09-12,536.49963,543.0896,543.0896,0.0
2023-09-13,536.49963,543.7228,543.7228,0.0
2023-09-14,536.49963,548.41095,548.41095,0.0
2023-09-15,536.49963,541.8036,541.8036,0.0
2023-09-18,536.49963,542.1213,542.1213,0.0
2023-09-19,535.5281,540.997,540.997,0.8732528686523438
2023-09-20,535.5281,536.02344,536.02344,0.0
2023-09-21,535.5281,527.1638,527.1638,0.0
2023-09-22,535.5281,525.9785,525.9785,0.0
2023-09-25,535.5281,528.19037,528.19037,0.0
2023-09-26,535.5281,520.43054,520.43054,0.0
2023-09-27,535.5281,520.6383,520.6383,0.0
2023-09-28,535.5281,523.65674,523.65674,0.0
2023-09-29,535.5281,522.3858,522.3858,0.0
2023-10-02,535.3421,522.17804,522.17804,0.8732889294624329
2023-10-03,529.08344,515.1881,515.1881,0.873358964920044
2023-10-04,532.4485,518.93976,518.93976,0.8734033703804016
2023-10-05,532.27325,518.74414,518.74414,0.8733049035072327
2023-10-06,537.79193,524.90314,524.90314,0.8732575178146362
2023-10-09,540.7985,528.2636,528.2636,0.8732539415359497
2023-10-10,543.25653,531.0131,531.0131,0.8732526898384094
2023-10-11,545.1999,533.18835,533.18835,0.8732525110244751
2023-10-12,542.29736,529.93774,529.93774,0.8732525110244751
2023-10-13,539.9386,527.2982,527.2982,0.8732525110244751
2023-10-16,544.8995,532.8461,532.8461,0.8732525110244751
2023-10-17,544.8776,532.82166,532.82166,0.8732525110244751
2023-10-18,544.8776,525.72174,525.72174,0.0
2023-10-19,544.8776,521.10254,521.10254,0.0
2023-10-20,544.8776,514.6993,514.6993,0.0
2023-10-23,544.8776,513.8071,513.8071,0.0
2023-10-24,544.8776,517.6809,517.6809,0.0
2023-10-25,544.8776,510.251,510.251,0.0
2023-10-26,544.8776,504.14096,504.14096,0.0
2023-10-27,544.8776,501.8558,501.8558,0.0
2023-10-30,544.8776,507.85587,507.85587,0.0
2023-10-31,547.8659,511.04535,511.04535,0.8732624053955078
2023-11-01,552.96826,516.49554,516.49554,0.8732537627220154
2023-11-02,562.22235,526.3939,526.3939,0.8732525706291199
2023-11-03,566.7016,531.1964,531.1964,0.8732525706291199
2023-11-06,567.84,532.41846,532.41846,0.8732525110244751
2023-11-07,569.2513,533.9337,533.9337,0.8732525110244751
2023-11-08,569.61536,534.32477,534.32477,0.8732525110244751
2023-11-09,565.73615,530.1577,530.1577,0.8732525110244751
2023-11-10,573.4454,538.43066,538.43066,0.8732525110244751
2023-11-13,572.9681,537.9175,537.9175,0.8732525110244751
2023-11-14,582.6752,548.35345,548.35345,0.8732525110244751
2023-11-15,583.75244,549.5144,549.5144,0.8732525110244751
2023-11-16,584.376,550.1865,550.1865,0.8732525110244751
2023-11-17,584.376,550.87085,550.87085,0.0
2023-11-20,588.30414,555.1112,555.1112,0.8732525110244751
2023-11-21,588.30414,553.9014,553.9014,0.0
2023-11-22,588.30414,556.04,556.04,0.0
