Date,Open,High,Low,Close,Volume
2014-07-09,615.32,623.82,610.53,623.0,3066.24
2014-07-10,623.0,624.95,611.66,618.39,3604.7
2014-07-11,618.39,633.62,616.11,632.9,3124.17
2014-07-12,632.9,638.59,625.9,635.9,3433.0
2014-07-13,635.9,638.64,627.54,628.03,1703.49
2014-07-14,628.03,628.99,616.06,618.32,2553.73
2014-07-15,618.32,624.42,617.3,619.6,3693.18
2014-07-16,619.6,622.36,614.15,614.8,2997.32
2014-07-17,614.8,632.55,610.01,626.58,2922.04
2014-07-18,626.58,630.15,617.92,627.47,3344.66
2014-07-19,627.47,634.14,625.14,627.04,3961.13
2014-07-20,627.04,627.93,619.96,620.98,2302.87
2014-07-21,620.98,625.93,615.02,625.13,2534.07
2014-07-22,625.13,628.81,620.0,622.53,3277.44
2014-07-23,622.53,624.99,621.0,621.69,2170.81
2014-07-24,621.69,621.96,599.38,601.87,4740.92
2014-07-25,601.87,609.06,597.4,600.5,5919.22
2014-07-26,600.5,602.98,593.25,596.0,3478.73
2014-07-27,596.0,601.49,593.69,595.03,3530.72
2014-07-28,595.03,597.49,578.14,587.93,2331.14
2014-07-29,587.93,591.28,579.53,585.77,6719.13
2014-07-30,585.77,586.13,564.18,564.64,4103.24
2014-07-31,564.64,593.73,564.01,589.52,3523.28
2014-08-01,589.52,603.99,586.43,598.78,8925.21
2014-08-02,598.78,598.91,587.42,591.72,2122.58
2014-08-03,591.72,592.06,580.62,588.94,1263.34
2014-08-04,588.94,595.09,586.49,592.77,3415.53
2014-08-05,592.77,594.25,585.44,588.76,4085.09
2014-08-06,588.76,593.79,587.2,589.77,3009.97
2014-08-07,589.77,595.08,587.92,592.8,2504.42
2014-08-08,592.8,608.2,592.08,595.85,3105.95
2014-08-09,595.85,595.56,587.41,589.52,1418.03
2014-08-10,589.52,596.64,588.06,592.06,1337.97
2014-08-11,592.06,593.62,571.72,575.89,2569.39
2014-08-12,575.89,578.29,561.98,567.66,3325.01
2014-08-13,567.66,573.51,523.15,542.1,4818.58
2014-08-14,542.1,544.94,495.94,504.8,10880.44
2014-08-15,504.8,515.24,483.21,496.45,4767.38
2014-08-16,496.45,524.25,483.24,522.01,3870.22
2014-08-17,522.01,524.71,478.22,485.5,3143.96
2014-08-18,485.5,493.26,449.95,462.18,6378.17
2014-08-19,462.18,487.05,455.8,485.12,5120.41
2014-08-20,485.12,521.84,468.51,516.78,5886.41
2014-08-21,516.78,537.17,511.36,517.94,5645.78
